HECHO,RUPTURA,CONEXO,ESTADO_NOTICIA,ETAPA,ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,LEY,PAIS,DEPARTAMENTO,MUNICIPIO,SECCIONAL,GRUPO_DELITO,DELITO,IMPUTACION,CONDENA,ATIPICIDAD_INEXISTENCIA,ACUSACION,CAPTURA,SEXO_INDICIADO,GRUPO_EDAD_INDICIADO,PAIS_NACIMIENTO,HOMICIDIO_DOLOSO_CONSUMADO,TOTAL_INDICIADOS
'SI','NO','NO','INACTIVO','QUERELLABLE',2015,2015,2015,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','INJURIA Y CALUMNIA','CALUMNIA. ART. 221 C.P.','NO','NO','NO','NO','NO','MASCULINO','JUVENTUD 18 - 28','Colombia','NO',5
'SI','NO','NO','INACTIVO','INDAGACIÓN',2013,2013,2013,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','INJURIA Y CALUMNIA','INJURIA. ART. 220 C.P.','NO','NO','NO','NO','NO','MASCULINO','SIN DATO','Colombia','NO',3
'SI','NO','NO','ACTIVO','INDAGACIÓN',2019,2019,2019,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','IMPARTICION DE JUSTICIA','RECEPTACION ART. 447 C.P.','NO','NO','NO','NO','SI','MASCULINO','ADULTEZ 29 - 59','Colombia','NO',4
'NO','NO','NO','INACTIVO','INDAGACIÓN',2014,2014,2013,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','CONTRA LA FAMILIA','INASISTENCIA ALIMENTARIA ART. 233 C.P.','NO','NO','SI','NO','NO','','JUVENTUD 18 - 28','Colombia','NO',4
'SI','NO','NO','INACTIVO','INDAGACIÓN',2017,2017,2017,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','FALSEDAD EN DOCUMENTO','OBTENCION DE DOCUMENTO PUBLICO FALSO ART. 288 C.P.','NO','NO','NO','NO','NO','MASCULINO','ADULTEZ 29 - 59','Colombia','NO',1
'SI','NO','NO','INACTIVO','INVESTIGACIÓN',2011,2011,2011,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','ADMINISTRACION PUBLICA','VIOLENCIA CONTRA SERVIDOR PUBLICO ART. 429 C.P.','SI','NO','NO','NO','SI','','SIN DATO','Colombia','NO',2
'SI','NO','NO','ACTIVO','INDAGACIÓN',2016,2016,2016,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','ESTUPEFACIENTES','TRAFICO FABRICACION O PORTE DE ESTUPEFACIENTES ART. 376 C..','NO','NO','NO','NO','NO','MASCULINO','JUVENTUD 18 - 28','Colombia','NO',3
'SI','NO','NO','ACTIVO','QUERELLABLE',2018,2018,2018,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','LESIONES PERSONALES CULPOSAS','LESIONES CULPOSAS ART. 120 C.P. INCISO 1','NO','NO','NO','NO','NO','MASCULINO','ADULTO MAYOR DE 60','Colombia','NO',1
'SI','NO','NO','ACTIVO','INDAGACIÓN',2016,2016,2016,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','ESTAFA','ESTAFA. ART. 246 C.P.','NO','NO','NO','NO','NO','FEMENINO','ADULTEZ 29 - 59','Colombia','NO',8
'SI','NO','NO','INACTIVO','EJECUCIÓN DE PENAS',2019,2019,2019,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','HOMICIDIO DOLOSO','HOMICIDIO ART. 103 C.P.','SI','NO','NO','NO','SI','MASCULINO','ADULTEZ 29 - 59','Colombia','SI',1
'SI','NO','NO','ACTIVO','JUICIO',2020,2020,2020,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','DELITOS AMBIENTALES','INVASION DE AREAS DE ESPECIAL IMPORTANCIA ECOLOGICA ART. 337 C.P.','NO','NO','NO','SI','SI','MASCULINO','SIN DATO','Colombia','NO',2
'SI','NO','NO','INACTIVO','INDAGACIÓN',2011,2011,2011,'Ley 906','Colombia','Risaralda','PEREIRA','DIRECCIÓN SECCIONAL DE RISARALDA','LESIONES PERSONALES','LESIONES PERSONALES CON INCAPACIDAD MENOR 60 DIAS','NO','NO','NO','NO','NO','MASCULINO','ADULTEZ 29 - 59','Colombia','NO',4
